_id,cand_ana,tweet
592fcced0b09e72334d172ad,"{'binay': 3, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['ovp', 'bares', 'achievements', 'binay']"
592fcced0b09e72334d172b4,"{'binay': 6, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['pres', 'aquino', 'leads', 'flag', 'raising', 'ceremony', 'binay', 'mayor', 'erap', 'members', 'cabinet']"
592fcced0b09e72334d172bb,"{'binay': 1, 'duterte': -1, 'poe': -1, 'roxas': 1, 'santiago': -1}","['outgoing', 'jejomar', 'binay', 'inamin', 'posibleng', 'bumalik', 'gobyerno', '@592fcc950b09e72334d0f79c']"
592fcced0b09e72334d172be,"{'binay': 3, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['@592fcc950b09e72334d119aa', '@592fcc950b09e72334d119ab', 'stop', 'binay']"
592fcced0b09e72334d172cd,"{'binay': 5, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['watch', 'philippine', 'flag', 'hoisted', 'pnoy', 'binay', 'manila', 'mayor', 'estrada', 'afp', 'officials', '@592fcc950b09e72334d118b3']"
592fcced0b09e72334d17321,"{'binay': 3, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['bukas', 'magpapakilala', 'ako', 'binay', 'nognog', 'pandak', 'laki', 'hirap']"
592fcced0b09e72334d17343,"{'binay': 8, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['kuya', 'ice', 'cream', 'yan', 'mam', 'cream', 'ice', 'flavor', 'binay', 'escudero', 'bwahahahhahaha']"
592fcced0b09e72334d17349,"{'binay': 6, 'duterte': -1, 'poe': -1, 'roxas': 2, 'santiago': -1}","['tunay', 'ama', 'maria', 'clara', 'sings', 'sino', 'binay']"
592fcced0b09e72334d1734a,"{'binay': 3, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['bonifacio', 'sedula', 'yan', 'binay', 'dude', 'notes']"
592fcced0b09e72334d1734b,"{'binay': 4, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['luna', 'alam', 'artikulo', 'uno', 'binay', 'teka', 'wala', 'kong', 'notes']"
592fcced0b09e72334d17398,"{'binay': 0, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['binay', 'dennise', 'iya', 'balay', 'bastos']"
592fcced0b09e72334d173ae,"{'binay': 1, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['ngaman', 'binay', 'moko', '??', '@592fcc950b09e72334d119c2']"
592fcced0b09e72334d1742d,"{'binay': 0, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['binay', 'dimakita', 'bakit', 'kaya', 'makita']"
592fcced0b09e72334d17447,"{'binay': 4, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['luna', 'bayan', 'sarili', 'pumili', 'binay', 'wala', 'bang', 'pera', 'pagpipilian']"
592fcced0b09e72334d1744e,"{'binay': 3, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['@592fcc950b09e72334d119ca', 'cool', 'kid', 'binay', 'football', 'letran', 'high', 'tine', 'leon', 'haha']"
592fcced0b09e72334d17479,"{'binay': 3, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['ovp', 'bares', 'achievements', 'binay']"
592fcced0b09e72334d174a0,"{'binay': 5, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['isa', 'nalang', 'mabilin', 'yah', '??', 'binay', 'apat', 'huhuhu', 'sanay', 'naman', '?????']"
592fcced0b09e72334d174b6,"{'binay': 4, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['luna', 'bayan', 'sarili', 'pumili', 'binay', 'bes', 'wala', 'bang', 'pera', 'pagpipilian']"
592fcced0b09e72334d174c4,"{'binay': 2, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['daming', 'nasasabi', 'binay', 'nagawa', 'nung', 'mayor', 'makati', 'kaya', 'ibida', 'nagawa', 'nung', 'bisepresidente', 'pinas']"
592fcced0b09e72334d17564,"{'binay': 10, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['philippine', 'independence', 'day', 'rizal', 'monument', 'luneta', 'park', 'president', 'noynoy', 'aquino', 'binay', 'mayor', 'erap']"
592fcced0b09e72334d175e6,"{'binay': 7, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['wonderful', 'alden', '@592fcc950b09e72334d119df', 'bashers', 'mas', 'galit', 'kesa', 'binay', 'nga']"
592fcced0b09e72334d1760a,"{'binay': 1, 'duterte': -1, 'poe': -1, 'roxas': 1, 'santiago': -1}","['baka', 'jejomar', 'binay', 'lul']"
592fcced0b09e72334d17624,"{'binay': 4, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['year', 'nakakalipas', 'nangyari', 'tito', 'binay']"
592fcced0b09e72334d17644,"{'binay': 1, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['@592fcc950b09e72334d119f8', 'binay', 'nako', 'sue']"
592fcced0b09e72334d176be,"{'binay': 3, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['?', 'looks', 'like', 'binay', 'biggest', 'loser', 'poor', 'cayetano']"
592fcced0b09e72334d176c8,"{'binay': 1, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['@592fcc950b09e72334d11a0e', 'binay']"
592fcced0b09e72334d176d3,"{'binay': 5, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['benta', 'parin', 'paglingon', 'lorraine', 'mukha', 'binay', 'nakita', 'hahaha']"
592fcced0b09e72334d176f6,"{'binay': 1, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['hahahaha', 'binay', 'nasa', 'conjuring', 'hahahaah', 'laughtrip', '????']"
592fcced0b09e72334d17758,"{'binay': 4, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['akala', 'nagkahulihan', 'hahahaha', '@592fcc950b09e72334d11a23', 'binay', 'mojica']"
592fcced0b09e72334d17761,"{'binay': 2, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['saturday', 'cheat', 'binay', 'baste', 'recital', 'city', 'bacoor']"
592fcced0b09e72334d177cb,"{'binay': 1, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['@592fcc950b09e72334d11a37', 'binay', 'besh', 'yesh', 'hahahaha']"
592fcced0b09e72334d177f4,"{'binay': 2, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['ayaw', 'talaga', 'binay', 'hahaha']"
